琴,大型粗大ごみ,1メートル未満は粗大ごみ。
五徳,家庭金物,
子供用遊具（木製・プラスチック製）,燃やすごみ,50センチメートル以上は粗大ごみ。
粉ミルクの缶（金属製のふたを含む）,スチール缶,中身を空にして汚れを落とす。汚れているものは不燃ごみ。
ごみ箱（金属製）,家庭金物,50センチメートル以上は粗大ごみ。
ごみ箱（木製・プラスチック製）,燃やすごみ,50センチメートル以上は粗大ごみ。
ゴムホース,燃やすごみ,1メートル未満に切断して指定ごみ袋に入れ口を結んで出す。
ゴムボート（オールを含む）,粗大ごみ,1メートル以上は大型粗大ごみ。
ゴム類,燃やすごみ,
米びつ（ハイザー）精米機付き,粗大ごみ,
米袋（紙）,燃やすごみ,
米袋（ビニール）,容器包装プラスチック,容器包装プラスチックのマークを確認する。中身を空にして汚れを落とす。汚れが落ちなければ燃やすごみ。
ゴルフクラブ,指定品目,5本まで指定ごみ袋（大きさ不問）を巻いて不燃ごみの日に出す。
ゴルフセット（クラブ18本まで、バッグ、靴のセット）,大型粗大ごみ,1メートル未満は粗大ごみ。
ゴルフバッグ,粗大ごみ,
コンクリート製流し台,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。
コンクリート製品,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。
コンタクトレンズ,燃やすごみ,
コンパス,不燃ごみ,
コンプレッサー,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。
コンポスト（生ごみ処理容器）,粗大ごみ,中身を出す。1メートル以上は大型粗大ごみ。
品名,種別,留意点等
サーフボード,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。
座椅子,粗大ごみ,50センチメートル未満は不燃ごみ。
サイドボード,粗大ごみ,1メートル以上は大型粗大ごみ。
雑誌,雑誌,付録は外す。
座布団,燃やすごみ,
サマーベッド（ポンポンベッド）,粗大ごみ,
皿（紙・プラスチック製）,燃やすごみ,
皿（ガラス・陶磁器）,不燃ごみ,割れたものは紙に包み指定ごみ袋に入れ「キケン」と表示する。
ざる（金属製）,家庭金物,
ざる（プラスチック製）,燃やすごみ,
三脚,不燃ごみ,50センチメートル以上は粗大ごみ。
サンシェード（家庭用日除け）,燃やすごみ,50センチメートル以上は粗大ごみ。
三面鏡,粗大ごみ,50センチメートル未満は不燃ごみ。
三輪車,粗大ごみ,電動は収集不可。
品名,種別,留意点等
飼育ケース（金属製）,家庭金物,50センチメートル以上は粗大ごみ。
飼育ケース（プラスチック製）,燃やすごみ,50センチメートル以上は粗大ごみ。
シーツ,布類,
CD（コンパクトディスク）,燃やすごみ,なるべく拠点回収へ。
シート（ビニールシート・ブルーシート・レジャーシート）,燃やすごみ,1メートル未満に切断し指定ごみ袋に入れて口を結べれば燃やすごみ。
磁石,不燃ごみ,
辞書,雑誌,紙以外の表紙は外して燃やすごみ。
下着（使用済）,燃やすごみ,
下着（未使用）,布類,
七輪,不燃ごみ,
室内用物干し台,粗大ごみ,
ジッパー付保存袋,燃やすごみ,
自転車,大型粗大ごみ,1メートル未満は粗大ごみ。電動自転車は収集不可。
自動車部品,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。
竹刀,指定品目,5本まで指定ごみ袋（大きさ不問）を巻いて不燃ごみの日に出す。
芝刈り機,粗大ごみ,手動式、電動式、エンジン式可。
シャープペンシル（金属製）,不燃ごみ,
シャープペンシル（プラスチック製）,燃やすごみ,
ジャグ（大型水筒）,不燃ごみ,50センチメートル以上は粗大ごみ。
車載用冷温蔵庫,粗大ごみ,
写真,燃やすごみ,
写真プリント紙,燃やすごみ,
ジャッキ（パンタグラフ型）,家庭金物,50センチメートル以上は粗大ごみ。
ジャッキ（油圧式）,粗大ごみ,
シャベル（金属製）,家庭金物,
シャベル（プラスチック製）,燃やすごみ,
シャンプーの容器,容器包装プラスチック,容器包装プラスチックのマークを確認する。中身を空にして汚れを落とす。汚れが落ちなければ燃やすごみ。
ジューサーミキサー,小型家電,
じゅうたん,粗大ごみ,1メートル未満に切断し指定ごみ袋に入れて口を結べれば燃やすごみ。
充電器,小型家電,なるべく小型家電専用回収ボックスへ。
充電式電池,拠点回収,
収納家具,粗大ごみ,1メートル以上は大型粗大ごみ。
ジュラルミンケース,不燃ごみ,50センチメートル以上は粗大ごみ。
シュレッダー（手動式）,不燃ごみ,50センチメートル以上は粗大ごみ。
シュレッダー（電動式）,小型家電,50センチメートル以上は粗大ごみ。
シュレッダーされた紙,ミックスペーパー,紙袋に入れてホチキスで封をする。または新聞紙にくるみ周囲をホチキスで留めて出す。
瞬間湯沸かし器,粗大ごみ,
消火器,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。
消火器（エアゾール式）,危険有害ごみ,中身を空にして安全な場所で安全な道具で穴を開ける。
正月飾り,燃やすごみ,50センチメートル以上は粗大ごみ。
昇華転写紙,燃やすごみ,
定規（金属製）,家庭金物,
定規（プラスチック製）,燃やすごみ,
将棋の駒,燃やすごみ,
将棋盤,不燃ごみ,50センチメートル以上は粗大ごみ。
浄水器,不燃ごみ,50センチメートル以上は粗大ごみ。
消毒器,不燃ごみ,50センチメートル以上は粗大ごみ。
錠前（金属製）,家庭金物,
照明器具,小型家電,50センチメートル以上は粗大ごみ。蛍光管、白熱電球、LED電球は外す。
じょうろ（金属製）,家庭金物,
じょうろ（プラスチック製）,燃やすごみ,
食用油の缶（植物油・動物油）,燃やすごみ,拠点回収へ。燃やすごみへ出す場合は布や紙へ染み込ませるか固める。
食用油の缶（金属製のフタを含む）,スチール缶,中身は拠点回収へ。燃やすごみへ出す場合は布や紙へしみこませるか固める。
除湿器,粗大ごみ,冷媒ガスを抜き取るため50センチメートル未満でも粗大ごみ。
食器（ガラス製・陶磁器）,不燃ごみ,割れたものは紙に包み指定ごみ袋に入れ「キケン」と表示する。
食器（金属製）,家庭金物,
食器（プラスチック製）,燃やすごみ,
食器洗い乾燥機,小型家電,50センチメートル以上は粗大ごみ。
食器棚,粗大ごみ,1メートル以上は大型粗大ごみ。
ショッピングカート,粗大ごみ,50センチメートル未満の金属製は家庭金物。
シリコン製品,燃やすごみ,
芯（ラップやトイレットペーパー）,ミックスペーパー,つぶして紙袋に入れて出す。
人工大理石製品,収集不可,ページ下部「市では収集・処理できないもの」をご参照ください。
シンセサイザー,粗大ごみ,
新聞紙,新聞,
品名,種別,留意点等
水槽（ポンプはセットでも可）,不燃ごみ,50センチメートル以上は粗大ごみ。
水筒（金属製）,家庭金物,
炊飯器・炊飯ジャー,小型家電,内釜は家庭金物。
スーツケース,粗大ごみ,
姿見（スタンドミラー）,粗大ごみ,1メートル以上は大型粗大ごみ。
スキーウエア,燃やすごみ,
スキーキャリア（棒状）,粗大ごみ,ボックス型は収集不可。
スキー靴,不燃ごみ,
スキーセット（板・ストック・靴のセット）,大型粗大ごみ,1メートル未満は粗大ごみ。
スキューバ用ウェイト（重り10キログラムまで）,粗大ごみ,ベルトセットも可。
